i,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,forced_board,winner,confidence
862, ,X,O, , , ,X, , ,O, , , , , , , , ,O, , , , ,X, , , ,X, , , ,X, , , , , , , ,O, , ,O,X, , , , , ,O,X, , , , , , , ,X, ,O, ,X, , ,X, , ,O, , , , , , ,O, , , , , ,5.0,O,1.0
863, ,X,X, , , , , ,O, ,X, , ,X,O,X,X, , ,X, ,X,O,X,O,O, , ,O,O,O,X,O,X, , ,X, ,O,X,X,O, ,O,X, ,O,O,X,O,X,X,X,O,O,O, ,X, ,O,O,X,O,O, ,X,O,O, ,X, ,O, ,O,X, , ,X,X,X, ,,Draw,11.5
864, , ,X,O, ,O, , , , ,X, , ,X, , ,O,O,X,O,O, , , ,O,X, ,X, ,X, , , ,X,X, , ,X, ,O, , , , ,O, , , ,O,X, , , , ,O, ,X, , , , ,O, , ,O, , ,O, ,X, ,X, , , ,O, ,X, , ,X,8.0,O,-2.0
867, , , , , , ,O, ,X, , ,O, , , , ,O, , ,O,O,X,X, ,X,X, ,O, , , , ,O, , ,X, , , , , ,O,O, , , , ,X,X, , , ,X,X,X, ,X, , , , ,X,O, ,X,O, ,X,O, ,O,O, ,X, ,O, ,O,O,X, ,1.0,Draw,-104.5
868,X,O,O,X,X,O,O, ,O,X,O,O, ,X, ,X,X, , ,X,X,X,X,X,X, ,O, , ,O, , ,O, , ,O,O,O,O,O,X,O,O, ,X,X, ,O,X,X, , ,X, ,X,O,X, , , , ,O,X,O, , ,O,O, , ,X, ,X,X, ,X, ,O,O, , ,,O,10000.0
869,X,O,O,X,X,O, , ,O,X, , ,O,O, ,O, ,O, ,X, , ,X, ,X, , ,X,X, , ,O, , , ,O,X, ,O, ,O, ,O, , , , ,O, , ,X, , ,X, ,X, , , ,O,X,X,O, , , ,O, , , , ,O,O,X, ,X,X, , ,X, ,,Draw,94.5
870, ,O,X, ,X, ,O, ,O, , ,X, , ,X,X, , , ,O, ,X, , , ,O,O, ,O, , ,X,O, , , ,O, , , , ,X,O, , ,O, ,X,O, ,O,X,X,O,X, , , ,O,X, ,O,O,X, ,O, , , ,X, , ,X, , ,X, ,X,X, , ,6.0,X,3.0
871, ,X, , , ,O, , , , , ,O, , ,O, , , , ,X, , ,O, ,X, ,X, , ,O, ,O, , , ,X, , , ,O,X,X,O, , ,X, , ,X, , , , ,O, , , ,X, , ,O, ,X, , , , ,X, , , , ,O, ,X, , , ,O,O, ,6.0,X,1.5
872,O,O, , , ,O, ,X,X, ,X,O, ,O,X, ,X,X, ,O,X, , ,X,O,O, , ,X,O, , , , , ,X,X,O,X,O,O,X,X,X, ,O, , ,O,X, ,O,O, ,X, , , ,X,X, , , ,X, ,X,X,O,X, ,O,O, , , , , , ,O,O,O,6.0,Draw,271.0
873, , , , , , , , , , , , , , , , , ,X, , , , ,O, , , , , , , , , , , , , , ,O, , ,X, , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,O, , ,4.0,X,2.5
874, , ,X, , , , , ,O, , , ,X, , , , , , , , ,O, , , , ,O, , , ,X, ,O,O, , , , , , , , , , ,X,X, , , ,X, , , , , , , , , , , ,X, ,O, , , ,O, , , , , , ,X, , ,O, ,X, ,4.0,O,1.0
875, , ,O,O, ,O, , , , , ,X,X, , , , , ,X, ,O,X, , , , ,O, , ,O,X, ,O,O,O, , ,O, , , , ,X, , ,X,O, ,X,X,X, , , , , , , , ,O, ,O,X,X, ,X, , , , , , , , , , ,O, ,X, , ,2.0,X,315.5
876, ,O,X, ,X, ,O, , ,O, ,O,X,X,X, ,O,O, ,X, ,O, ,X,X,O,O,O,X,X, , ,X, , ,X, ,X,O,O,X, , ,X,O, ,O, ,O,O, , ,O, , ,X, , ,O, , ,X,O,X,O, ,O,O,X, ,X,O,X, ,X,X,O, ,X,X, ,,Draw,-267.5
877, , , ,X, , , , , , , ,O, , ,O, ,X, , ,X,O, , , ,X,X, , , , , , , ,O, , , , , , , ,X,X, , , , ,X, , , , , , , ,X, , ,O, ,O,X, , ,O, , ,O, , , ,O,O, , , , , , , ,X,5.0,Draw,5.0
878, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , ,X, , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , ,7.0,X,0.5
879,O,X,O,X,X,O,O,O, ,O,O,O,X, , ,X,O,X,O,X,X, ,X,O,O,X, , ,O, , , ,O,O,O, ,X,O, , ,X,O, , ,X,X,O,X, ,X,X,X, ,O,X,X,O,X,O,X, , ,X,X,X, ,O,O,X,O,X,X, , ,X,X,O,O,O,O,O,3.0,X,10000.0
880, , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , ,X,O, , , , , , , , , , ,O, , , , , ,X, ,O,X, , , , , ,O, ,X, , , , , , , , , , , ,5.0,O,2.5
881, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , ,2.0,O,0.5
882, ,O,X,X, , , , , , , ,X, , , ,X,X, , ,O, , , ,O,X, ,X,O, , , ,X, ,X, ,O, , , , , ,O, ,O, , ,O, ,X, ,X,X, , , , , ,O, ,O,X,O,O,X, ,O,O, , , , ,X,O, ,O, ,X, , ,X, ,6.0,X,46.0
883, , , ,O, , , ,O, , , , ,X,O,O, , ,O,X,X, ,X, , , , ,X, , ,O, ,O,O,X, , , ,X, ,X, , , , ,X, ,X,O, , ,X,X,X, , , ,O,O, , , , , , , , , ,O, , , ,X,X,O,O, , ,O, , , ,3.0,O,1.5
884,O,X, ,O,O,O, ,O, ,X, , , ,O, , ,X,O,X, ,O, , ,X,X,X, ,X,X,X,X,X, , , ,O,X, ,O,O, , ,O, ,X,O,O, ,O,X,X, ,X,X, , , , ,X,O, ,X, , , ,O,O, ,O, , ,O,X, ,O, , ,X,O,X, ,1.0,X,204.5
885, , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0,X,0.5
886,X,O, ,X,O,O, , ,O,O,X,X,X,O,X, , ,X, ,O, , ,O, , ,O, ,X,O,X,O, ,O,O, ,O,X, ,X, , , ,X, , ,X,X,X,X, ,O, , ,X,X,O, ,X, ,O,O, , , , , ,O, , , ,X,X,O,O, ,X, ,O,X, , ,0.0,Draw,-54.5
887, ,X, , ,O, , , ,X, ,X, ,X,X, , ,X, , , , , , , , ,O, ,O,O,X, , ,X, , , , , , ,X, , ,O, , , ,O, , , , , , , , , , , , , , ,X, ,O,O, ,O, , , ,X, , , , ,O, , , , , ,,X,1.5
888, , , , , , ,X, , , ,O,O,X, , ,X, , , ,X, , , , ,O, , , ,O, , , , , , , , , ,X, , , , , , , , , , , , ,X, , ,O,X, , ,O,O, , , , , , , , , , , , , , , , , , , , , ,4.0,X,1.5
890, , , ,X, , , , , , , , , ,X, ,X, ,X, , , ,X, , , , , ,O, , , , , , , ,O, ,O, , , , , , , , , , , , , , ,X, , , , , , , , ,O, , ,O,O, , , , ,X, , ,O, , , , ,X, , ,6.0,X,0.5
891, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , ,O, , , , , , , , , ,X, , , , , , , , , , , ,5.0,O,0.0
892,X,O,O,O, ,X,O, ,O, ,O,X,O, ,X,X, ,X, ,X,O, ,X,X, ,X,O,X,X,X, , , ,O, ,X,X,O,O, , , , , ,O,O,O,O,O, ,O, ,X,X,X,O,X,O,X,X,X,X, ,X, ,O,O,O,O, , , ,O,O, ,X,X,X,O,X,O,,Draw,318.5
893, , , ,X, ,X, , , , , , ,X, , , ,X, ,O, ,X, , , , , , ,O, , , ,X, , , ,O, , ,O, ,X, ,O, , , ,O, , , , , , ,O, ,O, , , ,X, , , , , ,O, ,O, , , , , , , , , , ,X,X, ,2.0,O,3.0
894, , , , , , ,X,X,X, ,X,X, , , , ,X,O, , , ,X,X,O,O,O, ,O, , , , , ,O, , , , ,O,X,O,X, ,O,X, , ,X, ,O, , , , , , ,O, ,X, ,X, ,O,O,O,X, ,O, , , , ,O,O, , ,X, , ,X, ,7.0,O,150.0
895, , , , , , , , , , ,O,X, , , , , , , , ,O, , ,O,X,X,X, , ,O, , , , ,X, , , , , , , , , ,X, ,X, , , ,X, , ,O, , ,X, , ,O, , , , , , ,X,O, ,O, , , ,X,O, , , , ,O, ,1.0,O,-155.5
896,X, , , , ,O, , , , , ,O, , , ,X, , ,O, ,X,X,X, , , ,O, ,O,O, , ,O,X,O, , ,O, ,X,O,X, , , , , ,X,O,X, ,X, , , , ,O,X, ,O,O, , , , , , , , , , ,X, ,X, ,X, , , , ,O,1.0,O,107.0
897, ,O, , , ,X, ,O, ,X,X, ,O, , , , , ,X, ,O,X, ,X,O, ,X, , ,X,O, ,X,O,X,O, , , , , ,X,X, , , ,O,O,O, ,O,O,X, ,O, ,X,X,O, ,X, , , , ,O, ,O, , , , , , ,O,X, ,X, , , ,7.0,O,-5.0
898, , , , , , , , , , , , , , ,O, , , , , , , , , , , , , ,X, ,O, , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , ,O, , ,X, , , , , ,0.0,X,2.0
899, , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , ,X, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , ,O, , , ,X, , , , , ,3.0,O,0.5
900,X,X,O,X,O, , , ,O,O,O, ,X,X,O,X,O, ,X, ,X, ,O,O,X,O,X,O,X,O,X, , ,X,O, ,O,O,O, ,X,X,O, ,O, , ,X,O,X,O,X, ,X,X, ,O, ,X,O,O,X,O,O,X, ,O,X, ,X, ,X, ,O,X,O,X,X,O,X,O,0.0,O,-10000.0
902,X,X,O,X, ,X,O, ,X,X, , , ,O, , , ,O,O, ,X,O, , , , , ,O,O, , ,X,O, , , , , , ,O,X,O, ,O,X, , , , , , ,O,X,X, ,X, , ,X, , , ,X,O, , ,X, , , , , ,O, ,X,X,O, ,O, ,O,3.0,Draw,-152.0
903, ,X, , , ,X, , ,X, ,O,O,O, ,X,O,O, ,O, , , ,O,O, , , ,O, , ,X, ,X,X,O, , ,X, , , , , ,X,X, ,X,X,X,O,O, ,O,O, ,X, ,O, ,X, ,X, ,O,X,X, , ,O,O,X,O, , ,X,O, , ,O,X, ,2.0,X,-0.5
905,X,O,X, ,O, , , , , , , , , ,O, ,O,X, , , ,O, ,X, ,O, ,O,X, ,O, , , ,X,X, ,X, ,X, , , ,X, , , ,X, , , ,X,O, ,O, , ,O, , , , , ,X,O, ,X,O,O,X,X, , , ,O, , , , ,O, ,1.0,X,112.5
906,O,X,X,X,O,O,X, ,X, ,O,X, , ,O,X,O,X,O,O, ,X,X, ,X,X,O,O, ,O, ,X, , ,O,O, ,O,O,X,O,O, ,O,X, ,X,X,X,X, , ,X, ,O,X,O, ,X,O,X,O,X,X, , , ,X,O,O,X,X,X, ,O,O,O, ,O,O,X,1.0,Draw,150.0
907,X, , , , , , , ,O, ,X, , , ,X, ,X,O, , , , , ,O,X, , , ,O, ,X, , , , ,X, , ,X, , ,X, , ,X, ,O, , ,O,X,O,O,O,O,X, ,O, ,X,O, ,X, , , , , ,X,O, , , ,O,O,O,O,X,X, ,X,1.0,O,60.0
908,X, ,X,X, , , ,O, ,O,X, ,O,O, , ,X, , , , , , , , ,O, , ,X, , ,O, , , , ,O,X, , , ,O, ,X, , ,O, ,X,X, , , , , , , , , , , ,O, ,O, , , ,X,X,X,O,X, ,O, , , , , , , ,3.0,O,1.0
909, , , ,X,X, , , ,O, ,X,O,O, ,O, ,O,O,X,X, , ,X,X, , ,X,O,O,O,X, , ,O, ,O, ,X,O, , , ,X,O, , , , ,X,O, , , ,X, ,X,O, , , , , , , , , ,X,O, , , ,X,O,X,O,X, ,O, ,X,X,8.0,Draw,58.0
910, , , , , ,X, , , , , , ,X, , ,O, ,O, , , , , ,X, , ,O, ,O, , , , , , ,O, , , , , , , , ,O,O, ,O, ,X, , ,X,O, ,X, , , , , , , ,O, , , , ,O, , , , ,X,X,X, ,X, ,X, ,0.0,O,0.5
911, ,O, , , , , , , , , , ,X, , , ,X, , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , ,O, , , , , , , , , , , ,6.0,O,2.0
912,X,X,O, ,X,X, , ,X,O, , ,O, ,O,X, , ,O, , , ,X, ,X,X, , ,X, , , , , , , ,O, ,O, ,X, , , ,O,O,O,X, , , ,X, ,O,O, , , , ,X,O, ,O, , , , , ,O,X, , , ,X,O, , ,X, ,O,X,6.0,X,0.0
913, , , , , , , , , , , ,O, , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , ,X, , , , , , , , , ,O,X, , ,X, ,X, , , , , , , , , ,O, , , , , , , , , ,O, , , ,3.0,X,2.5
914, , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , ,X, ,O,1.0,X,2.0
915, ,X, , , ,X,X, , , , , ,X,X,X,O, , , , , , ,X,X,X,X,X,O,O,O,X, ,O,X,O,X, ,O,O,X,O, ,O,X, , ,X,O, ,X,O,O,O,X,O, ,O,X,X,O, , ,X,O,O, ,X,O, ,O,X, , ,O,O,O, , , ,X,O,6.0,X,-55.0
916, , ,O, , , , , , , , , , , , , , , , , ,X,O, ,O, ,O, , , , , ,X,O, , , , , , , , ,O,O, , , , ,X, ,X, , , ,X,X, , ,X,X, ,O, , , , ,X, , , ,X, , , , , , , , , ,O, ,4.0,X,-3.5
917, , , , , , , , ,X,O,X, ,O, , , , , , , , , , , , , , , , , , ,X, , , , , , , , ,O,X, , ,O, ,O, , ,X,X, , , , , , , , , , , , , , , , , , , , , , ,X, , , ,O, , , ,5.0,Draw,1.5
918, , , ,O,O,X,O,O,O, ,X,X,X, ,O,X,O, ,X,O,X,O, ,O,O, , ,X,O,X,O,X,O, ,X, , ,O,X,X,X,O,O,O, ,X,X, ,O,O,X,O,O,X, ,O,O,X,X,X, ,X, ,X, ,O, ,O,X,O,X,X,O, , , ,X, ,X,X,O,,Draw,6.0
919, , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , ,X, , , , , ,3.0,X,0.5
920, , ,X, ,X, ,O,X, ,X, , , , , ,X, , ,O, ,X,X, ,X,X, ,O, ,O,O, , ,X, , , , ,O, , , ,X, , , ,O, ,O,X, ,O,X, , ,O, ,O,O, , , ,X, , , , , ,O,O, , , , , , , , ,X, , , ,5.0,Draw,110.0
921, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , ,3.0,X,0.5
922, , ,O, , ,O, , ,X, , ,X, , , , , , , ,O, , ,O,X, ,O,O,X, , , , ,O,X, ,X, , ,X,X,O, ,O,X, , , ,X,O,X,X, , ,O,O, ,X, , , ,X, ,O, , , ,O, , ,X, , ,X, ,X,O,O, ,O, ,X,6.0,O,361.0
923, , , ,O,X, ,O, ,X,O, , , ,X,O,X, ,X, ,X, , , , ,O,O, ,X,O,X,O,X, , , ,X,O,O, ,X,O,O,O, ,O, , , ,X,X, , ,X, ,X,X, , ,O, , ,X, , , , ,O,X, , , ,O, ,O,X,O,X,O, , ,X,8.0,Draw,89.5
924, , , , , , , , , , , , , ,O, , , , , , , , , , , , , , ,X, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , ,X,6.0,X,1.0
925, , ,X, ,O, ,O,O, ,O,X,X,X, ,X,O, , , ,O, , , ,O, , , ,X, , ,O, , , , , , ,O, , , , ,X, , ,X,O, , , , ,O, ,X,X,O, , ,X, ,X,O, , ,X, , , ,X, , , , , , , , , , , ,O,8.0,O,6.5
926, ,O,O, , , , , ,O,X,O, , , , ,X,X, , , , ,X, , , , , , , , , ,X, ,O,X, , , , , , , , ,O,X, , , ,O, , , ,X, ,X, , , ,O, , , , , ,X,O,O, ,X, ,O, ,X,O, , , , , , , ,2.0,X,3.5
927,O, ,X, ,X,X,X, , , ,O,X, ,X,O, ,O, ,O, ,O,X, , ,O, , ,O,O, , ,X,O,X, , , ,X, ,X, , ,O,O,O,O, ,X, ,O, , ,X,X,X, , ,X, , , , ,O, ,X, ,O, ,O, ,X, , ,X, ,O, ,X, , , ,6.0,Draw,150.0
928, , , , ,O, ,X, , , , , , , , ,X, , , , , ,X, , , , , , , , , , , ,O, , , , , , , , , , ,X,X, , , ,O,X, , , ,O,O, , , ,O,X, , , , , , , , , , , , , ,O, , , , , , ,4.0,Draw,1.0
930,X, ,X, , ,X, ,O, , ,O,X, ,X,O, , , ,O, ,X, ,X,X,O, ,O,O, ,O,X, , , , ,O,O, , , , , , ,O, , , ,O,O, ,O,O, ,X, ,O, ,X, ,X, , ,O, ,X, , , , ,X, , , ,X,O,X, ,X,X, , ,5.0,X,4.0
931, , , , ,O, , ,O,O, ,X, ,O, , , , , , , , , , , ,O, , ,X, , , ,O, ,X, , ,X,X, ,X, , , ,X, , , ,X,O, , , , , ,X,O, , , , , , , , , , , ,O,X, , , , , , , , ,O, , ,X,1.0,O,2.0
932,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,0.0,O,0.5
933, ,X, , , , , , ,O,O,X, , ,O, ,O, ,X, , , ,X,X,X,X, , , , ,O,O, ,O,X,O, , , ,O, , ,X, , ,O,X,X,O,X, ,O, , , ,X, , ,X, ,O,O, ,O, , , , , , , , ,X, ,O,O,X,X, ,X, , ,0.0,O,-148.5
934, , , , , , ,X, , , ,X, , , , ,O, , , , ,X, , , ,O, , , , , , , , , , ,O,O, , , , , , , ,X, , , ,X, , , , , , ,O, , ,O, ,X, ,X, , , , , , , , , , , ,O, ,X, ,O, , ,6.0,X,160.0
935,X, ,O, ,O,X,O,O,X,O,X, , ,O,O,O, , ,X,X,O, , , ,X, , , ,X, , , ,X, ,X,O,O,O,X,O,X, , ,X, ,X, ,O, ,X,O, ,X, ,X, , ,X,X,O, ,X,O,O, , ,O, , ,O, ,X, ,X, ,O,O, ,O,X, ,,Draw,-13.0
936, , , , , ,X,X, , , , , , , , , , , , , , ,X, , , ,X, , , , , ,X, ,O, , , , ,O, , , , , ,X, , , , , , , , , ,O, , ,O, , , , ,X,O, , , , , , , ,O, , ,O, , , ,X,X,O,5.0,O,3.0
937, , ,O,O,X,O, ,X, ,X,X, , ,O,X, , , , ,O,O, ,X,X,X,X, ,X,O,O, , , ,X, ,X,X,O, , , , ,O,O, ,O, ,O,X,X, , , , , , ,X,X, ,O, , ,O, ,X,X,O, , ,O,O,X,O, , ,O, , , ,X, ,1.0,O,-0.5
938,X, , , , , , , , , , ,O, , , , ,X,O, , , , , ,X,X, , , , , , , , , , , , , , , , ,O, ,O,X, ,X,O, , ,X, ,O, , , , , ,X, , ,O, , ,X, , ,O, ,O,X,X,O, , , ,X,O, , , ,0.0,Draw,2.5
942, ,O, , , ,X, , , , ,X,X,X,X, ,X, ,O,O,O,X, , , ,O,O, , ,O, , , ,O, ,O, , , ,X, ,O, , ,X, , , ,O,X,O,X,O, ,X, ,X, , , ,O,X, ,O, , , ,X, ,O, ,X, ,X,O,X, , , , , , ,7.0,X,9.0
943, , , , , , , , , , ,X,X,O, , , , , , ,O, , , , , ,O, , , ,X, , ,X, , , , , , , , , , , ,O, , , , , ,X, ,O,O, , , , , ,O, ,O, , , , , ,X, ,X, ,X, ,O, , , , ,X, , ,8.0,O,6.0
944, , , , , , ,O, , , , ,O, , ,O,O,O, , ,X, , , , , , , , , , , , ,O, ,X, , , , , , , ,X, , ,X,X, ,O, ,X,O, , , ,X, ,X, ,X, , , , , , , ,O, , , ,X, ,X, , , , , , ,O,6.0,O,3.5
945,O,X,O, , , ,O, ,X,O, , ,O, ,X,O, ,O, , , , ,X,X,X,X,O, ,X,X, ,O, , , ,X, ,X,O,X,O,O,X,O,O,X,O,O,O, , ,O, ,O,X,X,X,O,X,X,O, ,O, , ,O, ,X,X,X,O, ,X,X, , ,X,X,O,O,X,2.0,X,-154.5
946,O, ,X,O,X,O, ,X, , ,X,O,O, ,X,O, , ,X,O, ,X,X, , , ,O,O,X,X,X, , , , ,O, , ,O, , ,O,X, , ,X, , , ,O, , ,O,X, , ,O, , ,X, , ,X,X,X, , , , ,O,O, ,O, , ,O, , , ,X, ,8.0,O,-0.5
948, ,O, ,O,X, , ,O,O,X, ,X, ,O, ,X,X, , ,O, , ,O, , , ,O, ,X, , ,O,X, , , ,X, , , ,X,X,O,X,O, , ,X, , , ,O,O, ,O, , ,O, , ,X, ,X,X,O, ,X,O, , , , ,X, ,X, , ,O, ,X, ,7.0,X,-0.5
949, ,O,X, ,X, , , , , ,X,O, ,O, ,O,X,X,O, , ,X,O,X,O,X, , , ,O, , , , , , ,O,O,X, ,X,X,O,O, , ,X, , , , , , ,O, ,X, , ,X,O,X,X,X,X, ,X, ,O, ,O, ,O, ,O,O, ,X, ,O, ,X,5.0,X,-44.0
950,X, ,O,O, ,O, ,O, , , ,X,X,X,X, , , , ,O, , , ,X, , ,O,X,O, ,O, , , ,X, ,X,X, , ,O,X, , , ,X,O, ,X,O,O,X, , , , , , , ,O, , , ,O, ,X, ,O, , , , ,X, , , , , , , , ,0.0,X,-58.5
951, , , ,X, , ,X, , , , , , , , , , ,X, , , , , , , , ,O, , , , , ,O, ,O,O, , , , , , , , , , ,O, ,X, ,X, , , , , , , , ,O, , , , , , ,X, , , ,O,X,O, ,X, , , , ,X, ,8.0,X,0.5
953,X, ,X,O, , ,X,O, ,O, , , , , , , ,O, , ,X, ,O,O,O, ,O, , , , , , ,X,X, ,O,X,X, ,X, , , , ,X, , , ,O,O, ,X, , , ,O,O, ,X, , , , ,X, , ,O, ,X,O, , , ,X, , ,X, , , ,6.0,O,1.0
954,X, ,X, ,O, , ,O, , ,X, ,O, , , , , ,O,O, , , , , , , ,X, , , , , , , , , , ,X, , , , , , , , , , , , ,O, , , , , , , , , , , ,O, , , , ,X, ,X, , , , , , , , , , ,6.0,O,1.5
955, ,O, , , , , , , , ,X, ,O, , , , , , , , , , , , , , , , , , , , ,O,X, ,X, , , , , , , ,X, , , , , , , , ,O, , , , ,O,X, , , , , , , , , , , , , , , ,X, , ,X, ,O,7.0,Draw,1.0
956,O, , ,X,X,X, , , ,O,O,O, , ,O, , , ,X,X,X,X,O,O, ,X,O,O, , ,O, , ,X,X,X, , ,O,O, ,O,X,X,O, ,X,O,X,X,X, ,O,X, , ,X,O,X,O, ,O,O,X,X,X,X,O,O, ,O, ,O,X, ,O,X,O,X,O,X,,X,-10000.0
957,X,X, , , ,O,O, , , , ,O,X,X, ,O, , ,X, , ,O, , , , , ,O, , , ,X, , ,O, , ,O, , , ,O, , , , ,X,X, , , ,X, , ,O, ,O,X, ,O,X, , , , , , , , ,X, , , , , , , , , , , ,2.0,X,5.0
958, ,X, ,O,X, ,O,X, , ,O,O,O,X, , ,O,O,X, , , ,X,X,O, ,X,X,X,O, ,X,X,X, , ,O,X,O, , ,O, , ,O,X, ,O,O,O,X, ,O,O,O,X,X,X,O, ,O,X,X,O, , ,O,O,X,X,X, ,X,X,O,O, ,X,O,O,X,3.0,X,10000.0
959,X,X,X,O,O, , ,O,O,X, ,O, ,O,X, , , ,X, ,O,O, , , , ,X,O, , ,X, ,O,O,X,X, ,X,X,O, , ,X,O, , , , ,X,X, , ,O, ,O, , ,O, , , ,X, ,X,O, ,X,O, ,X, ,O,O, , , ,X,O, ,X, ,3.0,X,277.5
960,X,X, ,O,O,O,O, , ,O, , , ,O,X, ,O, , , , ,X, , ,X,O, ,O, ,X,X,X, ,O,O,X,X, ,O,X,O,X,X,O, ,X,X,O,O,O, , ,O, ,X,X, ,O,X,O,O,X, , , ,O, ,X,X,X,X,X, , , ,O, , ,O, , ,2.0,X,10000.0
961, ,X, , , , , , , , , , , , ,O,O,X, , ,X, , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , ,X, , ,X, , ,O, ,O, , ,X, , , , , , , ,O, , ,O,O, , , , , ,X, , ,4.0,O,0.5
962, , , ,X,O, , ,X, , , ,O,O,O,X, , , ,O, , , , , , ,X,X,O, ,X,X, , ,O,X,O,X,X, , , , ,O, ,X, , , ,O,X,X,O, , , ,X, , , , ,X,O,X, ,X, ,X,O,O, ,O,X, ,O,O,O, ,O, ,O,X,2.0,Draw,160.0
963, ,O, , , , , , , , , , , , , ,X,X,X, , , , , , ,X, , , , , , , , , , , , , , , , ,X, , , , , , , , ,O, ,X, ,X, , , ,O, , ,O, , ,O,O, , , , , ,X, , , , , , ,O, , ,8.0,X,-104.5
964, ,O,X,O,X, , ,O,X,X,O,X,O, ,O,X,X,X,O,X, ,O,X,O,X,O,O, ,O, ,X,X,X, , , ,O,X,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,O,O, ,O,O, ,O,O, , , ,X,X,O,X,O,X,X,O,O,O, ,X,X, ,X,O,X,0.0,O,-10000.0
965, , , , , , , , ,O,X, , , , , , , , , , ,X, ,O, ,X, , , , , , , , , , , , , , , , ,X,X, ,X, , ,O, ,O, , , , , , ,O, ,O, , , , , , , , , , , , , , , , , , ,X, , , ,8.0,O,3.5
966, , , ,O, , ,O, , , ,O, ,O, , ,X, , , , , , , , , , , , ,X, , , , , , ,X, , , , , , , , , ,X,O, , , ,X, , , ,X, , , , ,O,X,O, , ,X, , , , , , , , , , , , , ,O, , ,1.0,O,3.5
967,O,X, ,X,X, , ,X, , , ,O, ,O, ,O, ,O, ,X, ,O,X,O, , ,X, ,X,O,O, , , ,X, ,O, , , , , ,O, ,X, , ,X, , , , ,O,X,X, , , , ,X, ,X, ,O,X, ,X,X, ,O,O, ,O, ,X, , ,O, ,O, ,4.0,X,202.0
968, , , ,X,O, , , ,O, , , , ,O,X, ,X,O,X, ,O,O, , , , , , ,O, , ,X, , ,O, , ,X,X, , , ,O,O, ,O, , , , , , ,O, , , ,X, ,X, , , , ,X, , ,X, ,X,O, ,O,X,X, , , , , ,X, ,0.0,Draw,3.5
969,O, , , , ,X, , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.0,O,1.5
970, , ,O, ,X,O, , , , , ,O, , ,O, , ,X, ,X, ,X, , , ,X, ,X, , ,O, , ,O,X, ,O,O,O, , , , , , ,X, , , ,X, ,X, , , ,X, ,X, ,O, , , , , , ,O, , ,X,O, , , , , ,X, , , ,O,6.0,Draw,202.5
